left,right
2.807599999999998,2.9440999999999984
2.801799999999998,2.948099999999999
2.795999999999998,2.951699999999999
2.793799999999998,2.955099999999999
2.7921999999999976,2.958499999999999
2.795799999999997,2.9618999999999995
2.7953999999999968,2.9648999999999996
2.8003999999999967,2.9673
2.8029999999999973,2.9690999999999996
2.8053999999999975,2.9707
2.8153999999999972,2.9720999999999997
2.828799999999997,2.9730999999999996
2.841199999999997,2.9736999999999996
2.855199999999997,2.974099999999999
2.866399999999997,2.974299999999999
2.874399999999997,2.9744999999999986
2.881199999999997,2.9746999999999986
2.8865999999999974,2.9746999999999986
2.8935999999999975,2.9748999999999985
2.900399999999997,2.975099999999998
2.906799999999998,2.9752999999999985
2.912799999999998,2.975499999999999
2.924799999999998,2.975699999999999
2.927599999999998,2.976299999999999
2.929613333333332,2.9802999999999984
2.9306399999999986,2.9837749999999983
2.9312799999999988,2.986924999999998
2.931333333333332,2.9895499999999986
2.9301999999999992,2.991649999999999
2.9286799999999995,2.9932249999999994
2.9267733333333332,2.9944749999999996
2.9240799999999996,2.995399999999999
2.920399999999999,2.9957999999999987
2.9163333333333323,2.9977999999999994
2.9114799999999987,3.0013999999999994
2.906039999999998,3.0037999999999996
2.9000133333333316,3.0055999999999994
2.8931999999999984,3.0071999999999997
2.885999999999998,3.0088
2.8961999999999977,3.0104
2.9153999999999978,3.012
2.9323999999999977,3.0136000000000003
2.949799999999998,3.0152000000000005
2.9663999999999975,3.0164000000000004
2.9805999999999973,3.0170000000000003
3.003199999999997,3.0174000000000007
3.017199999999997,3.0176000000000003
3.0367999999999977,3.0178000000000003
3.0567999999999977,3.0180000000000002
3.070799999999998,3.0180000000000002
3.0849999999999977,3.0180000000000002
3.098399999999998,3.0181999999999998
3.1099999999999977,3.0185999999999997
3.118999999999998,3.0194
3.1281999999999983,3.0204000000000004
3.1329999999999982,3.0216000000000003
3.1399999999999983,3.0232000000000006
3.142599999999998,3.0258000000000003
3.147199999999998,3.0290000000000004
3.151599999999998,3.0324
3.155599999999998,3.0358
3.160999999999998,3.0395999999999996
